name,state_abbr,degree_type,cash_monitoring,pred_degree_type,highest_degree,type_school,ST_FIPS,REGION,LOCALE,hbcu,pbi,annhi,tribal,AANAPII,his,nanti,men_only,women_only,admission_rate,sat_avg,distance_only,netprice_lowincome,tuit_fte,inexp_fte,avg_fac_salary,pct_ft_fac,pct_pell,C150_POOLED,age_entry,first_gen,med_fam_inc,pct_grad_degree,pct_domestic,median_hh_income,poverty_rate,unemployment_rate
Ohr Hameir Theological Seminary,NY,2,0,3,3,2,36,2,21,0,0,0,0,0,0,0,1,0,1,NULL,0,NULL,16580,9704,4844,NULL,0.5652,0.3333,18.18604651,PrivacySuppressed,29724,10.10000038,67.80000305,52063.5,16.85000038,4.090000153
Onondaga Community College,NY,2,0,2,2,1,36,2,21,0,0,0,0,0,0,0,0,0,NULL,NULL,0,3696,3048,6141,7199,0.3047,0.2882,0.2283,22.792,0.395072591,24817,10.39000034,93.75,56161.83,10.31999969,3.720000029
Orange County Community College,NY,2,0,2,2,1,36,2,13,0,0,0,0,0,0,0,0,0,NULL,NULL,0,2864,5671,9922,7922,0.3634,0.2876,0.2577,23.04671417,0.455970493,32491,8.289999962,88.56999969,68085.45,8.050000191,3.809999943
Otsego Area BOCES-Practical Nursing Program,NY,1,0,1,1,1,36,2,33,0,0,0,0,0,0,0,0,0,NULL,NULL,0,13196,762,7626,NULL,NULL,0.88,0.8387,28.53424658,0.524590164,26114,9.329999924,94.88999939,44851.41,9.880000114,6.800000191
Pace University,NY,3,0,3,4,2,36,2,11,0,0,0,0,0,0,0,0,0,0.876225045,1219,0,24407,22070,11053,12510,1,0.2549,0.5881,20.70807285,0.294117647,55332,12.27999973,74.80000305,74848.68,9.609999657,3.680000067
Paul Smiths College of Arts and Science,NY,3,1,3,3,2,36,2,42,0,0,0,0,0,0,0,0,0,0.747117602,NULL,0,20607,22014,10132,5634,0.7586,0.4237,0.5592,20.46617916,0.296934866,61335,9.640000343,93.81999969,59302.03,7.679999828,3.779999971
Continental School of Beauty Culture-West Seneca,NY,1,0,1,1,3,36,2,21,0,0,0,0,0,0,0,0,0,NULL,NULL,0,21124,15432,4341,NULL,NULL,0.5873,0.8636,26.3948718,0.588588589,13263.5,7.880000114,94.41000366,48696.74,13.51000023,5.03000021
Plaza College,NY,2,0,2,3,3,36,2,11,0,0,0,0,0,0,0,0,0,0.3,NULL,0,16767,10811,4681,6134,0.3663,0.8501,0.6726,27.6,0.483516484,14305,6.639999866,54.15000153,49859.64,19.19000053,6.260000229
Davis College,NY,3,0,3,3,2,36,2,22,0,0,0,0,0,0,0,0,0,1,NULL,0,8820,3945,2723,3333,NULL,0.3924,0.475,24.15254237,0.27184466,30075.5,8.109999657,95.01999664,52113.29,8.869999886,3.660000086
Pratt Institute-Main,NY,3,0,3,4,2,36,2,11,0,0,0,0,0,0,0,0,0,0.678616511,1315,0,38979,33390,17600,11643,0.1398,0.1775,0.713,20.2509434,0.192577733,67963.5,14,80.93000031,75295.69,8.239999771,3.480000019
