"","name","state","state_code","type","degree_length","room_and_board","in_state_tuition","in_state_total","out_of_state_tuition","out_of_state_total","total_enrollment","rank","early_career_pay","mid_career_pay","make_world_better_percent","stem_percent","matched","degree_type","cash_monitoring","pred_degree_type","highest_degree","type_school","ST_FIPS","region","locale","hbcu","pbi","annhi","tribal","AANAPII","his","nanti","men_only","women_only","admission_rate","sat_avg","distance_only","netprice_lowincome","tuit_fte","inexp_fte","avg_fac_salary","pct_ft_fac","pct_pell","C150_POOLED","age_entry","first_gen","med_fam_inc","pct_grad_degree","pct_domestic","median_hh_income","poverty_rate","unemployment_rate","Women","American Indian / Alaska Native","Asian","Black","Hispanic","Native Hawaiian / Pacific Islander","White","Two Or More Races","Unknown","Non-Resident Foreign","Total Minority"
"522","Heritage University","Washington","WA","Private",2,10480,18124,18124,18124,18124,3696,25,41100,73600,52,17,"Heritage University","3",0,"3",4,2,53,"8","41","0","0","0",1,"0","1","0","0","0",0.760658545,1180,1,5701,16154,11487,7062,0.3681,0.5916,0.469,24.3830735,0.634482759,26087,4.619999886,0.634482759,46851.84,18.03000069,8.159999847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"523","Northeastern University","Massachusetts","MA","Private",2,16880,51387,68267,51387,68267,19798,16,62500,109700,46,40,"Northeastern University","3",0,"3",4,2,25,"1","11","0","0","0",1,"0","0","0","0","0",0.183788741,1500,1,12947,41791,17088,13642,0.6977,0.1116,0.9019,21.60087719,0.185158151,80224.5,14.60000038,0.185158151,80190.89,5.690000057,2.859999895,9764,10,1753,624,1103,7,8828,597,1413,5463,4094
"524","University of Mississippi","Mississippi","MS","Public",2,10696,8660,19356,24614,35310,22503,2,48500,89100,55,12,"University of Mississippi","3",0,"3",4,1,28,"5","33","0","0","0",1,"0","0","0","0","0",0.896625877,1201,1,8820,12399,16409,9521,0.8439,0.2384,0.6755,21.74808184,0.235026918,47087,8.130000114,0.235026918,53374.26,12.17000008,3.640000105,12625,64,429,3178,610,23,16882,471,53,793,4775
"525","Southeastern Louisiana University","Louisiana","LA","Public",2,8420,8165,16585,20643,29063,14487,15,46700,83900,51,8,"Southeastern Louisiana University","3",0,"3",4,1,22,"5","13","0","0","0",1,"0","0","0","0","0",0.989350373,1180,1,11931,5914,5808,7004,0.8253,0.3549,0.3889,20.88967831,0.39908357,34942,6.539999962,0.39908357,53084.32,12.90999985,3.720000029,9006,35,128,2148,893,14,9438,757,833,241,3975
"526","St. Mary's University of Minnesota","Minnesota","MN","Private",2,9080,35140,44220,35140,44220,3696,10,53000,93700,53,5,"Saint Mary's University of Minnesota","3",0,"3",4,2,27,"4","32","0","0","0",1,"0","0","0","0","0",0.97794581,1180,1,14099,14079,7389,6820,0.2741,0.2596,0.5941,25.43484043,0.261538462,54772.5,8.609999657,0.261538462,70833.22,5.480000019,2.890000105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"527","Missouri University of Science and Technology","Missouri","MO","Public",2,10274,10169,20443,28499,38773,8640,1,67300,122600,50,80,"Missouri University of Science and Technology","3",0,"3",4,1,29,"4","33","0","0","0",1,"0","0","0","0","0",0.853967106,1345,1,8195,10520,14701,11218,0.8256,0.2142,0.6498,20.46378054,0.224921278,68139,7.929999828,0.224921278,59935.86,7.309999943,3.049999952,1954,30,226,290,256,14,5832,167,309,1516,983
"528","Marian University","Indiana","IN","Private",2,10640,34000,44640,34000,44640,3696,25,48400,82000,51,3,"Marian University","3",0,"3",4,2,18,"3","11","0","0","0",1,"0","0","0","0","0",0.730879086,1180,1,19714,19804,10419,7303,0.4701,0.2444,0.623,25.18763797,0.291764706,49554,8.550000191,0.291764706,65206.92,6.269999981,2.940000057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"529","Northern Illinois University","Illinois","IL","Public",2,10880,12262,23142,12262,23142,20611,14,53000,95500,47,20,"Northern Illinois University","3",0,"3",4,1,17,"3","23","0","0","0",1,"0","0","0","0","0",0.704450934,1180,1,11732,7641,16652,9555,0.727,0.4284,0.4926,21.94107966,0.383296864,39109,9.430000305,0.383296864,75712.57,5.800000191,3.529999971,10442,30,984,2825,2531,22,12318,569,242,1090,6961
"530","Davis and Elkins College","West Virginia","WV","Private",2,9450,29390,38840,29390,38840,3696,11,41100,76500,43,10,"Davis & Elkins College","3",0,"3",3,2,54,"5","33","0","0","0",1,"0","0","0","0","0",0.776137761,1180,1,16759,8833,8557,5705,0.55,0.4837,0.4654,21.7167756,0.4784689,40924,6.230000019,0.4784689,46441.47,12.14999962,3.779999971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"531","Stetson University","Florida","FL","Private",2,13052,46030,59082,46030,59082,4137,21,47000,86000,44,7,"Stetson University","3",0,"3",4,2,12,"5","13","0","0","0",1,"0","0","0","0","0",0.916414687,1207,1,17297,18545,10945,10275,0.6441,0.3418,0.637,20.05678466,0.267248216,52032.5,9.449999809,0.267248216,64417.32,6.789999962,2.839999914,2326,16,94,288,564,1,2751,124,88,211,1087
"532","University of Indianapolis","Indiana","IN","Private",2,10288,29688,39976,29688,39976,5442,21,47300,84500,55,5,"University of Indianapolis","3",0,"3",4,2,18,"3","11","0","0","0",1,"0","0","0","0","0",0.778537252,1180,1,17120,15533,9549,7756,1,0.3828,0.6242,21.8975932,0.318112633,55676,7.449999809,0.318112633,63891.1,6.050000191,2.910000086,3661,8,85,456,191,8,3736,127,407,424,875
"533","Newman University","Kansas","KS","Private",2,8326,30724,39050,30724,39050,3687,6,48000,88500,66,11,"Newman University","3",0,"3",4,2,20,"4","11","0","0","0",1,"0","0","0","0","0",0.716546763,1085,1,15229,10536,5523,6302,0.9195,0.2156,0.5493,24.78198198,0.394,42909,7.610000134,0.394,62008.99,6.949999809,3.039999962,2406,45,180,140,362,7,2739,93,37,84,827
"534","Midway University","Kentucky","KY","Private",2,8480,24650,33130,24650,33130,3696,22,39200,70300,53,3,"Midway University","3",0,"3",4,2,21,"5","42","0","0","0",1,"0","0","0","0","0",0.77744511,1098,1,20436,12301,5667,6676,0.2612,0.4656,0.5448,26.52276295,0.434563758,31774,6.949999809,0.434563758,50374.83,11.96000004,3.210000038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"535","North Carolina Wesleyan College","North Carolina","NC","Private",2,10800,31000,41800,31000,41800,1872,21,45300,78800,62,8,"North Carolina Wesleyan University","3",0,"3",4,2,37,"5","13","0","1","0",1,"0","0","0","0","0",0.28018018,984,1,17925,10778,5444,6144,0.3186,0.5128,0.3582,28.49009247,0.467706013,24995,7.170000076,0.467706013,57249.1,10.15999985,3.539999962,1089,18,11,895,38,0,563,32,239,76,994
"536","Macalester College","Minnesota","MN","Private",2,12156,54344,66500,54344,66500,2073,6,53600,100400,51,31,"Macalester College","3",0,"3",3,2,27,"4","11","0","0","0",1,"0","0","0","0","0",0.312624364,1421,1,11440,22600,19281,10898,0.8008,0.2172,0.9109,19.27042802,0.128256513,88991.5,13.80000019,0.128256513,71692.75,6.03000021,3.069999933,1255,1,146,49,123,1,1361,111,0,281,431
"537","Babson College","Massachusetts","MA","Private",2,16312,51104,67416,51104,67416,3049,4,72000,133800,37,0,"Babson College","3",0,"3",4,2,25,"1","21","0","0","0",1,"0","0","0","0","0",0.253519144,1412,1,17755,35329,14548,17413,1,0.1449,0.9417,19.44071146,0.148760331,91204,16.28000069,0.148760331,82978.89,6.510000229,2.930000067,1305,4,274,119,244,2,1194,58,240,914,701
"538","University of North Florida","Florida","FL","Public",2,9976,6394,16370,20112,30088,15984,19,48800,86600,51,11,"University of North Florida","3",0,"3",4,1,12,"5","11","0","0","0",1,"0","0","0","0","0",0.774868783,1113,1,4211,5103,6289,8235,0.9603,0.292,0.6659,22.83909864,0.31708351,37074,8.239999771,0.31708351,62628.24,7.119999886,2.910000086,8977,20,674,1553,1481,12,11031,779,64,370,4519
"539","Dordt College","Iowa","IA","Private",2,9590,30870,40460,30870,40460,1459,8,51000,89600,57,17,"Dordt University","3",0,"3",4,2,19,"4","33","0","0","0",1,"0","0","0","0","0",0.732288401,1199,1,20714,13781,10206,6547,0.6081,0.2075,0.6986,19.69175627,0.122486289,83534.5,6.590000153,0.122486289,61155.28,5.170000076,2.220000029,672,3,13,22,12,103,1056,0,128,122,153
"540","Hastings College","Nebraska","NE","Private",2,9700,30050,39750,30050,39750,1212,8,48600,87100,55,14,"Hastings College","3",0,"3",4,2,31,"4","32","0","0","0",1,"0","0","0","0","0",0.708894879,1180,1,16479,9674,7401,6530,1,0.3295,0.5517,20.31123389,0.274853801,66876,7.159999847,0.274853801,58174.49,6.079999924,2.140000105,591,6,16,41,67,4,1010,33,13,22,167
"541","Benedict College","South Carolina","SC","Private",2,6200,16600,22800,16600,22800,2444,24,38100,67500,61,19,"Benedict College","3",0,"3",3,2,45,"5","12","1","0","0",1,"0","0","0","0","0",0.855074018,1180,1,11931,10110,4307,6673,0.6947,0.7106,0.2629,20.52962085,0.407876231,17950.5,6.619999886,0.407876231,49336.04,14.19999981,4.579999924,1224,0,9,2416,7,0,8,0,4,0,2432
"542","Dakota Wesleyan University","South Dakota","SD","Private",2,7350,27300,34650,27300,34650,870,9,41800,75700,52,10,"Dakota Wesleyan University","3",0,"3",4,2,46,"4","33","0","0","0",1,"0","0","0","0","0",0.757402101,1113,1,18608,12427,5969,6148,0.6282,0.3022,0.5016,22.50609756,0.289416847,68742.5,5.159999847,0.289416847,47601.81,10.59000015,2.819999933,494,9,2,15,23,0,786,18,3,14,67
"543","University of Southern Maine","Maine","ME","Public",2,9450,9520,18970,22780,32230,8428,9,46900,81300,55,8,"University of Southern Maine","3",0,"3",4,1,23,"1","13","0","0","0",1,"0","0","0","0","0",0.869927738,1112,1,6233,8278,9091,9358,0.3607,0.2986,0.3529,23.60745297,0.328369906,35814.5,8.970000267,0.328369906,58065.5,7.03000021,2.819999933,5002,76,164,224,147,7,6388,169,1184,69,787
"544","University of Hartford","Connecticut","CT","Private",2,12476,40694,53170,40694,53170,6817,7,55200,101600,53,15,"University of Hartford","3",0,"3",4,2,9,"1","12","0","0","0",1,"0","0","0","0","0",0.787948585,1185,1,25494,18012,14379,7819,0.4469,0.2807,0.5676,20.24865758,0.286921708,70000,13.43000031,0.286921708,82221.8,5.730000019,3.160000086,3500,16,232,865,612,5,3953,146,504,484,1876
"545","University of Evansville","Indiana","IN","Private",2,12460,36416,48876,36416,48876,2567,11,50300,89900,54,17,"University of Evansville","3",0,"3",4,2,18,"3","12","0","0","0",1,"0","0","0","0","0",0.749521989,1179,1,13090,14885,12395,8679,0.9693,0.2126,0.6797,20.50192555,0.274590164,68453,7.630000114,0.274590164,61532.75,6.389999866,3.029999971,1446,4,38,72,71,0,1924,49,84,325,234
"546","Albany College of Pharmacy and Health Sciences","New York","NY","Private",2,10920,35105,46025,35105,46025,1563,1,81000,144800,82,2,"Albany College of Pharmacy and Health Sciences","3",0,"3",4,2,36,"2","13","0","0","0",1,"0","0","0","0","0",0.718238283,1295,1,22102,25242,19020,9564,0.7544,0.2624,0.7168,20.75510204,0.216981132,79148,10.07999992,0.216981132,60872.01,7.650000095,3.480000019,932,4,228,59,63,2,987,16,86,118,372
"547","University of Portland","Oregon","OR","Private",2,13450,45904,59354,45904,59354,4143,3,58500,104900,52,28,"University of Portland","3",0,"3",4,2,41,"8","11","0","0","0",1,"0","0","0","0","0",0.811856526,1287,1,26796,23803,14188,9297,0.5308,0.1497,0.8253,20.02604167,0.179279279,90442.5,10.17000008,0.179279279,67900.72,6.579999924,3.630000114,2448,7,404,41,408,63,2594,337,108,181,1260
"548","Longwood University","Virginia","VA","Public",2,11746,13340,25086,29300,41046,5096,21,47300,83300,54,9,"Longwood University","3",0,"3",4,1,51,"5","33","0","0","0",1,"0","0","0","0","0",0.8997825,1098,1,13597,6668,8003,8126,1,0.2553,0.6625,20.27305606,0.278876835,72594,9.659999847,0.278876835,69841.16,6.400000095,2.519999981,3473,15,73,415,229,6,3971,164,179,44,902
"549","Wisconsin Lutheran College","Wisconsin","WI","Private",2,10190,29725,39915,29725,39915,1179,20,46200,82500,45,10,"Wisconsin Lutheran College","3",0,"3",4,2,55,"3","11","0","0","0",1,"0","0","0","0","0",0.980190756,1192,1,14978,12925,8640,6930,0.9333,0.2631,0.6242,22.52189142,0.293680297,68509,7.199999809,0.293680297,69126.34,4.389999866,2.769999981,654,7,13,63,56,1,974,26,17,22,166
"550","Newberry College","South Carolina","SC","Private",2,10666,26424,37090,26424,37090,1093,19,41200,74700,54,14,"Newberry College","3",0,"3",3,2,45,"5","32","0","0","0",1,"0","0","0","0","0",0.574074074,1027,1,15442,11842,7224,6696,1,0.4697,0.5278,20.33594977,0.313131313,43889,7.409999847,0.313131313,57421.47,9.640000343,3.410000086,518,4,7,283,48,1,651,32,26,41,375
"551","Saint Thomas University","Florida","FL","Private",2,11700,33222,44922,33222,44922,3696,23,47400,84500,57,4,"St. Thomas University","3",0,"3",4,2,12,"5","21","0","0","0",1,"0","0","0","0","0",0.708624017,971,1,26264,14588,5637,9080,1,0.2265,0.382,24.23762376,0.412735849,26170,8.31000042,0.412735849,56846.82,12.75,4.760000229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"552","Fairleigh Dickinson University: Metropolitan Campus","New Jersey","NJ","Private",2,13348,40236,53584,40236,53584,3696,19,50800,93000,43,23,"Fairleigh Dickinson University-Metropolitan Campus","3",0,"3",4,2,34,"2","21","0","0","0",1,"0","1","0","0","0",0.846429012,1180,1,7266,17318,8172,9443,0.307,0.2332,0.5351,22.6139307,0.425506073,39799,10.88000011,0.425506073,80740.5,6.340000153,3.599999905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"553","Indiana Institute of Technology","Indiana","IN","Private",2,10020,26900,36920,26900,36920,3696,19,50000,84900,46,11,"Indiana Institute of Technology","3",0,"3",4,2,18,"3","11","0","0","0",1,"0","0","0","0","0",0.650080257,1180,1,17826,4969,2973,8398,1,0.3871,0.3834,30.79466186,0.53301495,14380,6.960000038,0.53301495,60972.77,7.260000229,3.329999924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"554","Ohio State University: Columbus Campus","Ohio","OH","Public",2,12434,10726,23160,30742,43176,3696,10,55300,98600,49,27,"Ohio State University-Main Campus","3",0,"3",4,1,39,"3","11","0","0","0",1,"0","0","0","0","0",0.571828807,1345,1,8249,13706,18525,13133,0.6339,0.1999,0.8751,20.92782756,0.262238654,64713.5,8.93999958,0.262238654,65208.79,6.510000229,2.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"555","University of Hawaii at Hilo","Hawaii","HI","Public",2,11406,7720,19126,20680,32086,3924,5,44000,77200,59,14,"University of Hawaii at Hilo","3",0,"3",4,1,15,"8","33","0","0","1",1,"1","0","0","0","0",0.921724138,1040,1,11068,7133,16118,10873,0.7614,0.4399,0.4015,24.14483261,0.365506329,27504,8.43999958,0.365506329,59308.27,10.07999992,4.659999847,2378,20,806,46,457,391,896,1129,13,166,2849
"556","College of Wooster","Ohio","OH","Private",2,11850,50250,62100,50250,62100,3696,19,49200,91300,56,32,"The College of Wooster","3",0,"3",3,2,39,"3","32","0","0","0",1,"0","0","0","0","0",0.60626229,1336,1,13524,18474,15081,8322,0.8225,0.2037,0.7545,19.41803279,0.143338955,88984.5,12.19999981,0.143338955,69911.54,5.900000095,2.910000086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"557","University of Bridgeport","Connecticut","CT","Private",2,13860,32850,46710,32850,46710,5191,13,49900,93600,59,31,"University of Bridgeport","3",0,"3",4,2,9,"1","12","0","0","0",1,"0","1","0","0","0",0.731376518,1040,1,23067,16481,7830,6803,0.4136,0.5532,0.4155,24.48391421,0.424291498,32763.5,9.409999847,0.424291498,63241.6,11.64999962,4.809999943,3165,27,170,1315,591,11,1735,91,0,1251,2205
"558","Albertus Magnus College","Connecticut","CT","Private",2,13200,32060,45260,32060,45260,1550,18,49700,85900,62,2,"Albertus Magnus College","3",0,"3",4,2,9,"1","12","0","0","0",1,"0","0","0","0","0",0.817269076,1180,1,26375,15895,7842,7903,0.4079,0.4798,0.5384,28.57354759,0.533823529,33671,11.64999962,0.533823529,65065.75,9.180000305,4.360000134,1031,6,7,515,217,2,647,20,125,11,767
"559","Central Christian College of Kansas","Kansas","KS","Private",2,8286,26674,34960,26674,34960,1165,25,37100,66100,52,2,"Central Christian College of Kansas","3",0,"3",3,2,20,"4","33","0","0","0",1,"0","0","0","0","0",0.760658545,1180,1,15995,11073,2589,3797,0.2,0.6264,0.2242,32.17673716,0.476102941,30263,6.28000021,0.476102941,55393.39,8.050000191,3.049999952,576,19,11,210,107,5,536,17,252,8,369
"560","Stephens College","Missouri","MO","Private",2,10632,30950,41582,30950,41582,862,24,42800,77200,47,6,"Stephens College","3",0,"3",4,2,29,"4","12","0","0","0",1,"0","0","0","0","1",0.636632201,1086,1,22261,12636,10825,6536,1,0.4631,0.5615,22.3483871,0.308962264,40725,9.869999886,0.308962264,61398.11,7.510000229,3.180000067,831,3,12,117,31,4,624,48,21,2,215
"561","University of Saint Joseph","Connecticut","CT","Private",2,11428,39173,50601,39173,50601,2565,14,49900,88800,63,9,"University of Saint Joseph","3",0,"3",4,2,9,"1","21","0","0","0",1,"0","0","0","0","0",0.782511211,1109,1,21832,22873,13104,8783,0.9493,0.3831,0.5639,23.0750469,0.42217484,44704,11.65999985,0.42217484,74607,6.5,3.49000001,2284,2,116,252,223,3,1416,32,496,25,628
"562","Saint Mary's College","Indiana","IN","Private",2,12580,42220,54800,42220,54800,3696,12,49700,89300,54,15,"Saint Mary's College","3",0,"3",4,2,18,"3","21","0","0","0",1,"0","0","0","0","1",0.830710336,1195,1,14385,16572,11669,7506,0.6802,0.2552,0.7742,19.50738916,0.197986577,87888,10.77999973,0.197986577,72879.94,4.96999979,2.75999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"563","University of Nevada: Reno","Nevada","NV","Public",2,10868,7925,18793,22397,33265,3696,2,52700,95000,47,24,"University of Nevada-Reno","3",0,"3",4,1,32,"8","11","0","0","0",1,"0","0","0","0","0",0.881647384,1153,1,12164,8227,12091,10322,0.9851,0.2598,0.6162,21.46733926,0.384629803,48103,7.670000076,0.384629803,68050.29,6.380000114,3.589999914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"564","University of Arkansas","Arkansas","AR","Public",2,11020,9130,20150,25168,36188,3696,1,52500,98000,49,18,"University of Arkansas","3",0,"3",4,1,5,"5","13","0","0","0",1,"0","0","0","0","0",0.826716988,1188,1,11141,9843,10882,10047,0.8463,0.1795,0.6911,21.28390724,0.259961487,64201,8.479999542,0.259961487,52450.53,9.56000042,3.799999952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"565","Pfeiffer University","North Carolina","NC","Private",2,11226,30234,41460,30234,41460,1784,23,44200,78000,51,4,"Pfeiffer University","3",0,"3",4,2,37,"5","42","0","0","0",1,"0","0","0","0","0",0.717602996,1070,1,18705,13036,10492,6995,0.9877,0.5468,0.3922,24.47676768,0.333333333,39008,7.03000021,0.333333333,62403.22,7.21999979,3.019999981,1148,6,24,460,57,1,959,20,165,92,568
"566","Stockton University","New Jersey","NJ","Public",2,12282,13739,26021,20866,33148,8570,25,47400,85800,49,16,"Stockton University","3",0,"3",4,1,34,"2","22","0","0","0",1,"0","0","0","0","0",0.845365776,1154,1,12894,9747,7538,10295,0.4579,0.3962,0.7496,21.88882979,0.404008132,52591,7.440000057,0.404008132,73199.66,5.329999924,3.609999895,5221,10,439,532,848,12,6317,239,143,30,2080
"567","Eastern Michigan University","Michigan","MI","Public",2,9854,13959,23813,13959,23813,22401,18,47300,86700,50,6,"Eastern Michigan University","3",0,"3",4,1,26,"3","21","0","0","0",1,"0","0","0","0","0",0.846052782,1061,1,14179,11475,8040,9759,0.9853,0.3537,0.4761,22.66417708,0.344196429,36983,10.56999969,0.344196429,69989,6.900000095,3.359999895,13362,52,565,4059,830,15,14859,704,562,755,6225
"568","University of Memphis","Tennessee","TN","Public",2,9975,9701,19676,21413,31388,21059,8,47200,85800,55,12,"University of Memphis","3",0,"3",4,1,47,"5","11","0","0","0",1,"0","0","0","0","0",0.952064897,1180,1,11914,7520,9119,8879,0.6863,0.4055,0.5289,22.76978517,0.367559988,28800,7.670000076,0.367559988,58823.6,11.98999977,4.099999905,12572,53,625,7135,757,26,10801,630,406,626,9226
"569","Lake Forest College","Illinois","IL","Private",2,10390,47064,57454,47064,57454,1626,9,55400,102600,46,21,"Lake Forest College","3",0,"3",4,2,17,"3","21","0","0","0",1,"0","0","0","0","0",0.644332263,1271,1,16845,14513,10760,8525,0.5812,0.3564,0.7422,19.89864865,0.24587156,59959,14.59000015,0.24587156,84677.74,4.980000019,2.779999971,934,4,81,108,243,0,941,57,44,148,493
"570","Amberton University","Texas","TX","Private",2,10480,12840,12840,12840,12840,3696,24,52800,93600,57,0,"Amberton University","3",0,"3",4,2,48,"6","21","0","0","0",1,"0","0","0","0","0",0.760658545,1180,1,14200.5,8156,3436,6738,0.3913,0.1872,0.6135,34.38709677,0.296914538213626,36196,9.58855367184633,0.296914538213626,64434.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"571","University of Maryland: University College","Maryland","MD","Public",2,10480,7416,7416,12336,12336,3696,8,55300,99600,59,27,"University of Maryland Global Campus","3",0,"3",4,1,24,"2","21","0","0","0",1,"0","0","0","0","0",0.760658545,1180,1,15635,8577,2758,7720,0.0537,0.2625,0.1963,29.99671883,0.46471966,30322.5,11.65999985,0.46471966,73191.4,6.679999828,3.309999943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"572","Belmont Abbey College","North Carolina","NC","Private",2,10355,18500,28855,18500,28855,1560,14,46700,82900,49,7,"Belmont Abbey College","3",0,"3",3,2,37,"5","22","0","0","0",1,"0","0","0","0","0",0.989136339,1107,1,16763,10232,6115,5741,0.619,0.2768,0.4591,23.72396487,0.273698264,56211,7.130000114,0.273698264,63374.1,7.170000076,3.430000067,890,4,15,391,23,0,631,5,470,21,438
"573","University of Vermont","Vermont","VT","Public",2,12462,18276,30738,42516,54978,12856,2,53200,99400,50,22,"University of Vermont","3",0,"3",4,1,50,"1","13","0","0","0",1,"0","0","0","0","0",0.635118745,1351,1,12114,25444,13248,10380,0.7479,0.1472,0.7653,20.07428736,0.115112161,92817,14.85000038,0.115112161,74257.05,5.409999847,2.789999962,7144,32,388,166,533,4,10329,331,520,553,1454
"574","Lander University","South Carolina","SC","Public",2,9100,11700,20800,21300,30400,2787,15,42600,77100,54,9,"Lander University","3",0,"3",4,1,45,"5","32","0","0","0",1,"0","0","0","0","0",0.690510949,1057,1,14814,4387,6130,6356,0.5957,0.412,0.5108,20.10959885,0.317092034,40987,6.260000229,0.317092034,52256.85,9.899999619,3.49000001,1920,4,42,858,36,2,1626,55,128,36,997
"575","Colorado Mesa University","Colorado","CO","Public",2,10925,9243,20168,22440,33365,9116,14,47800,81500,55,7,"Colorado Mesa University","3",0,"3",4,1,8,"7","13","0","0","0",1,"0","0","0","0","0",0.802400396,1088,1,13023,8250,9082,7164,0.5652,0.3096,0.3758,22.30319788,0.393754962,44794,7.710000038,0.393754962,56304.4,7.070000172,3.359999895,4924,68,126,218,1389,55,6589,313,306,52,2169
"576","University of Colorado Boulder","Colorado","CO","Public",2,14418,12532,26950,37286,51704,3696,3,57800,109900,48,39,"University of Colorado Boulder","3",0,"3",4,1,8,"7","12","0","0","0",1,"0","0","0","0","0",0.795821462,1292,1,14416,20776,18097,12044,0.747,0.153,0.7328,20.48182957,0.203573185,70221,15.63000011,0.203573185,81327.65,4.519999981,2.730000019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"577","Mount Mercy University","Iowa","IA","Private",2,9534,31798,41332,31798,41332,1762,22,47200,79000,51,4,"Mount Mercy University","3",0,"3",4,2,19,"4","12","0","0","0",1,"0","0","0","0","0",0.809859155,1180,1,19310,13965,6971,6341,1,0.3758,0.5902,24.95862069,0.288198758,50311.5,6.440000057,0.288198758,61693.27,4.75,2.589999914,1246,6,25,74,24,2,1466,25,90,50,156
"578","High Point University","North Carolina","NC","Private",2,14130,35118,49248,35118,49248,4399,12,48600,84300,50,8,"High Point University","3",0,"3",4,2,37,"5","12","0","0","0",1,"0","0","0","0","0",0.802780269,1218,1,34555,24007,9065,8267,0.9971,0.1085,0.6968,19.44314869,0.147786947,111649,8.130000114,0.147786947,63207.13,7.300000191,2.970000029,2647,21,61,246,173,0,3515,167,151,65,668
"579","Carnegie Mellon University","Pennsylvania","PA","Private",2,14418,55465,69883,55465,69883,12587,1,75900,136100,45,66,"Carnegie Mellon University","3",0,"3",4,2,42,"2","11","0","0","0",1,"0","0","0","0","0",0.135366002,1520,1,16526,43851,34891,12634,0.9233,0.1486,0.9311,19.34087238,0.099502488,91372,16,0.099502488,81652.61,5.909999847,2.980000019,4782,9,2071,402,574,2,3747,334,628,4820,3392
"580","Northern Kentucky University","Kentucky","KY","Public",2,10022,10032,20054,19680,29702,15090,6,49000,87400,46,12,"Northern Kentucky University","3",0,"3",4,1,21,"5","21","0","0","0",1,"0","0","0","0","0",0.802923007,1146,1,1756,10010,8548,8016,0.9748,0.2558,0.4723,22.24568966,0.381318681,48195,7.480000019,0.381318681,63568.77,6.909999847,2.650000095,8452,55,166,996,379,17,12551,252,205,469,1865
"581","Stevenson University","Maryland","MD","Private",2,13130,36182,49312,36182,49312,4322,15,50400,91600,51,15,"Stevenson University","3",0,"3",4,2,24,"2","21","0","0","0",1,"0","0","0","0","0",0.908824193,1180,1,17594,13764,9134,8392,0.3097,0.2914,0.6051,21.63766389,0.306943543,63596,11.10999966,0.306943543,74334.54,5.429999828,2.809999943,2870,5,133,1267,194,8,2405,114,170,26,1721
"582","Georgetown College","Kentucky","KY","Private",2,9780,38650,48430,38650,48430,1262,9,45000,81900,54,10,"Georgetown College","3",0,"3",4,2,21,"5","31","0","0","0",1,"0","0","0","0","0",0.745296671,1180,1,9969,7703,5881,6516,0.5782,0.3246,0.5606,19.85790409,0.330855019,59301,7.989999771,0.330855019,56937.11,9.319999695,3,752,3,11,105,38,0,1026,34,27,18,191
"583","University of Arkansas at Pine Bluff","Arkansas","AR","Public",2,7881,7842,15723,14094,21975,2513,17,40500,70500,67,22,"University of Arkansas at Pine Bluff","3",0,"3",4,1,5,"5","13","1","0","0",1,"0","0","0","0","0",0.675250053,902,1,10149,3925,8295,6008,0.8174,0.6984,0.3998,21.15302491,0.367737526,22300,5.139999866,0.367737526,42634.24,18.12000084,5.320000172,1359,3,15,2295,40,0,118,2,6,34,2355
"584","Northwood University: Michigan","Michigan","MI","Private",2,10480,27060,37540,27060,37540,3696,19,47800,86300,47,1,"Northwood University","3",0,"3",4,2,26,"3","13","0","0","0",1,"0","0","0","0","0",0.833481745,1180,1,16412,14461,6751,6629,0.1143,0.2587,0.5985,26.82422145,0.397157816,42219,7.75,0.397157816,64809.96,7.949999809,3.559999943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"585","Belmont University","Tennessee","TN","Private",2,12120,34310,46430,34310,46430,7244,17,47300,80900,47,3,"Belmont University","3",0,"3",4,2,47,"5","11","0","0","0",1,"0","0","0","0","0",0.880798835,1272,1,21118,25706,10072,9703,0.5549,0.1654,0.6959,20.4765343,0.158458244,87507,10.59000015,0.158458244,70368.62,6.179999828,2.75999999,4478,16,157,318,300,7,5734,231,390,91,1029
