"","name","state","state_code","type","degree_length","room_and_board","in_state_tuition","in_state_total","out_of_state_tuition","out_of_state_total","total_enrollment","rank","early_career_pay","mid_career_pay","make_world_better_percent","stem_percent","matched","degree_type","cash_monitoring","pred_degree_type","highest_degree","type_school","ST_FIPS","region","locale","hbcu","pbi","annhi","tribal","AANAPII","his","nanti","men_only","women_only","admission_rate","sat_avg","distance_only","netprice_lowincome","tuit_fte","inexp_fte","avg_fac_salary","pct_ft_fac","pct_pell","C150_POOLED","age_entry","first_gen","med_fam_inc","pct_grad_degree","pct_domestic","median_hh_income","poverty_rate","unemployment_rate","Women","American Indian / Alaska Native","Asian","Black","Hispanic","Native Hawaiian / Pacific Islander","White","Two Or More Races","Unknown","Non-Resident Foreign","Total Minority"
"395","The College of New Jersey","New Jersey","NJ","Public",2,13617,16551,30168,28266,41883,3696,6,58200,101800,44,16,"The College of New Jersey","3",0,"3",4,1,34,"2","21","0","0","0",1,"0","0","0","0","0",0.619840277,1270,1,5360,12350,9176,11093,0.4714,0.1842,0.8669,19.84373597,0.205225653,106390,11.30000019,0.205225653,86752.57,4.579999924,3.150000095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"396","St. Ambrose University","Iowa","IA","Private",2,10470,30894,41364,30894,41364,3508,17,46900,84400,48,8,"Saint Ambrose University","3",0,"3",4,2,19,"4","12","0","0","0",1,"0","0","0","0","0",0.724094881,1147,1,21970,18086,9724,7644,1,0.2568,0.6422,21.55637708,0.284457478,69543.5,7.539999962,0.284457478,63314.56,6.150000095,3.099999905,2051,7,42,109,195,2,2841,65,151,96,420
"397","Friends University","Kansas","KS","Private",2,7972,28415,36387,28415,36387,1882,21,44700,76500,59,14,"Friends University","3",0,"3",4,2,20,"4","11","0","0","0",1,"0","0","0","0","0",0.576670318,1065,1,18008,12118,5268,6656,0.375,0.3953,0.4116,24.72698908,0.357627119,45678,7.46999979,0.357627119,60343.56,7.039999962,3.049999952,1084,25,51,204,68,7,1303,118,106,0,473
"398","University of Mary Washington","Virginia","VA","Public",2,11118,12188,23306,27434,38552,3696,10,54200,98200,49,17,"University of Mary Washington","3",0,"3",4,1,51,"5","22","0","0","0",1,"0","0","0","0","0",0.819176447,1244,1,14412,6244,8508,8634,0.6722,0.1991,0.6672,21.51430388,0.247989276,80643,13.30000019,0.247989276,83782.23,4.170000076,2.329999924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"399","Christopher Newport University","Virginia","VA","Public",2,11460,14754,26214,27220,38680,5221,17,50800,87200,55,25,"Christopher Newport University","3",0,"3",4,1,51,"5","12","0","0","0",1,"0","0","0","0","0",0.885356023,1219,1,21759,9019,10118,9575,0.6341,0.1343,0.773,19.63492064,0.181010929,97520.5,12.39999962,0.181010929,79798.8,4.909999847,2.349999905,2997,15,125,414,258,5,3940,251,199,14,1068
"400","University of Oklahoma","Oklahoma","OK","Public",2,10994,11763,22757,27144,38138,3696,3,54400,100600,52,23,"University of Oklahoma-Norman Campus","3",0,"3",4,1,40,"6","22","0","0","0",1,"0","0","0","0","0",0.852292413,1249,1,15338,14350,12340,10247,0.8649,0.2286,0.7392,22.29188942,0.283689099,50976,9.590000153,0.283689099,59522.71,8.5,2.980000019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"401","Loras College","Iowa","IA","Private",2,8275,34184,42459,34184,42459,1569,7,48000,90100,56,14,"Loras College","3",0,"3",4,2,19,"4","13","0","0","0",1,"0","0","0","0","0",0.719558965,1180,1,15908,13384,8136,6738,0.7829,0.2595,0.6877,19.94528875,0.17274168,85517.5,8.140000343,0.17274168,66273.98,4.670000076,2.660000086,752,1,13,39,89,2,1305,22,70,28,166
"402","Prescott College","Arizona","AZ","Private",2,7700,31485,39185,31485,39185,848,7,41200,73500,69,0,"Prescott College","3",0,"3",4,2,4,"6","13","0","0","0",1,"0","0","0","0","0",0.993197279,1180,1,7027,13202,6227,5070,0.359,0.4455,0.4474,27.98067633,0.231958763,26676,12.19999981,0.231958763,62739.99,8.479999542,3.230000019,568,22,12,24,21,2,638,39,62,28,120
"403","Southern Illinois University Edwardsville","Illinois","IL","Public",2,11121,12132,23253,25817,36938,3696,24,51400,90100,50,21,"Southern Illinois University-Edwardsville","3",0,"3",4,1,17,"3","21","0","0","0",1,"0","0","0","0","0",0.98065592,1072,1,8546,10172,17873,8825,0.7163,0.3166,0.5268,21.76616815,0.306874865,49753.5,7.260000229,0.306874865,59952.94,7.139999866,3.309999943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"404","Adams State University","Colorado","CO","Public",2,8782,9440,18222,20456,29238,3154,16,44400,81400,56,3,"Adams State University","3",0,"3",4,1,8,"7","33","0","0","0",1,"0","1","0","0","0",0.998252766,1040,1,11129,6779,8530,6465,0.4131,0.3717,0.3047,22.28733625,0.415130941,31933,8.050000191,0.415130941,50726.71,11.84000015,3.829999924,1728,37,37,191,812,10,1776,126,165,0,1213
"405","Huntingdon College","Alabama","AL","Private",2,9750,27400,37150,27400,37150,1160,14,42400,78900,69,14,"Huntingdon College","3",0,"3",3,2,1,"5","12","0","0","0",1,"0","0","0","0","0",0.693011647,1111,1,19872,13368,7326,7133,0.7975,0.3946,0.431,23.01775148,0.3456,37577,7.639999866,0.3456,54037.99,10.60999966,3.289999962,572,14,9,229,29,2,738,30,101,8,313
"406","University of South Alabama","Alabama","AL","Public",2,7620,9870,17490,19740,27360,15805,9,47700,86400,56,17,"University of South Alabama","3",0,"3",4,1,1,"5","12","0","0","0",1,"0","0","0","0","0",0.707793856,1132,1,11902,9225,10104,7494,0.5766,0.3672,0.4617,21.94726688,0.334257975,36199,7.28000021,0.334257975,51919.71,12.5,3.900000095,9700,100,539,3285,402,33,10102,325,352,667,4684
"407","Rowan University","New Jersey","NJ","Public",2,12552,13697,26249,22339,34891,14778,20,51100,91200,43,21,"Rowan University","3",0,"3",4,1,34,"2","21","0","0","0",1,"0","0","0","0","0",0.837721932,1181,1,16581,12870,13194,9222,0.5032,0.3155,0.6833,21.42657891,0.350826376,61093,8.25,0.350826376,76692.58,5.760000229,3.700000048,7430,35,814,1342,1301,13,10205,317,595,156,3822
"408","Ottawa University","Kansas","KS","Private",2,11900,27630,39530,27630,39530,3696,4,49800,89900,57,7,"Ottawa University-Ottawa","3",0,"3",4,2,20,"4","32","0","0","0",1,"0","0","0","0","0",0.531683766,976,1,22959,11354,2228,6428,0.9333,0.4472,0.352,29.53267974,0.400868307,37231.5,7.900000095,0.400868307,65346.8,7.179999828,3.039999962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"409","St. Mary's College of Maryland","Maryland","MD","Public",2,13202,14806,28008,30568,43770,1721,11,53300,95400,45,27,"St. Mary's College of Maryland","3",0,"3",4,1,24,"2","23","0","0","0",1,"0","0","0","0","0",0.773328691,1256,1,7746,10541,15969,8062,0.6944,0.2086,0.7224,20.37023594,0.232824428,85000,15.42000008,0.232824428,85886.58,4.619999886,2.670000076,983,5,48,136,122,0,1257,76,51,26,387
"410","Tabor College","Kansas","KS","Private",2,9850,28245,38095,28245,38095,766,20,43300,77500,62,7,"Tabor College","3",0,"3",4,2,20,"4","33","0","0","0",1,"0","0","0","0","0",0.544721408,1180,1,15884,15098,5972,5100,0.4795,0.384,0.4498,22.98550725,0.313984169,49304.5,6.829999924,0.313984169,57538.37,7.53000021,3.019999981,379,3,5,64,83,2,524,25,48,12,182
"411","University of California: Santa Barbara","California","CA","Public",2,15273,14424,29697,43416,58689,3696,14,59700,116300,47,29,"University of California-Santa Barbara","3",0,"3",4,1,6,"8","22","0","0","0",1,"1","1","0","0","0",0.291780653,1180,1,11459,16684,14453,17654,0.8759,0.32,0.8466,20.17647978,0.424005811,36166,10.30000019,0.424005811,73046.19,9.479999542,4.099999905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"412","University of Utah","Utah","UT","Public",2,10262,9222,19484,29215,39477,31515,2,54800,102600,57,22,"University of Utah","3",0,"3",4,1,49,"7","12","0","0","0",1,"0","0","0","0","0",0.949677631,1257,1,10407,12602,16497,11146,0.9796,0.223,0.6716,23.50058207,0.294409168,38625,10.52000046,0.294409168,69474.52,6.059999943,3.170000076,14028,126,1590,401,2718,171,21498,989,1218,2804,5995
"413","Principia College","Illinois","IL","Private",2,11610,29470,41080,29470,41080,3696,17,52600,94900,56,19,"Principia College",NA,0,"3",3,2,17,"3","41","0","0","0",1,"0","0","0","0","0",0.84057971,1138,1,14200.5,8606,37206,8112,1,0,0.794,NA,0.296914538213626,55259.6392333709,9.58855367184633,0.296914538213626,64434.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"414","Minneapolis College of Art and Design","Minnesota","MN","Private",2,5610,39210,44820,39210,44820,783,24,47400,84700,39,0,"Minneapolis College of Art and Design","3",0,"3",4,2,27,"4","11","0","0","0",1,"0","0","0","0","0",0.655172414,1180,1,23495,20598,16077,8038,0.2083,0.4018,0.649,21.54263566,0.208333333,52219,10.34000015,0.208333333,70094.27,5.559999943,2.900000095,514,7,57,31,48,0,446,0,194,0,143
"415","Delaware State University","Delaware","DE","Public",2,12190,7868,20058,16904,29094,4397,3,46300,81900,62,10,"Delaware State University","3",0,"3",4,1,10,"2","13","1","0","0",1,"0","0","0","0","0",0.588371117,1180,1,10721,9386,9166,8176,0.6139,0.4408,0.4753,20.15165656,0.355045382,39554,8.039999962,0.355045382,60801.87,10.85000038,4.650000095,2760,12,47,2916,226,5,539,160,276,216,3366
"416","Valparaiso University","Indiana","IN","Private",2,11860,40260,52120,40260,52120,4507,8,53300,98000,52,31,"Valparaiso University","3",0,"3",4,2,18,"3","21","0","0","0",1,"0","0","0","0","0",0.931747334,1180,1,27503,15541,11068,7355,0.693,0.2479,0.7008,20.73131313,0.288135593,70535,9.579999924,0.288135593,72576.06,5.079999924,2.920000076,2314,15,87,283,329,1,2930,91,153,618,806
