"","name","state","state_code.x","type","degree_length","room_and_board","in_state_tuition","in_state_total","out_of_state_tuition","out_of_state_total","total_enrollment","rank","early_career_pay","mid_career_pay","make_world_better_percent","stem_percent","matched","degree_type","cash_monitoring","pred_degree_type","highest_degree","type_school","ST_FIPS","REGION","LOCALE","hbcu","pbi","annhi","tribal","AANAPII","his","nanti","men_only","women_only","admission_rate","sat_avg","distance_only","netprice_lowincome","tuit_fte","inexp_fte","avg_fac_salary","pct_ft_fac","pct_pell","C150_POOLED","age_entry","first_gen","med_fam_inc","pct_grad_degree","pct_domestic","median_hh_income","poverty_rate","unemployment_rate","Women","American Indian / Alaska Native","Asian","Black","Hispanic","Native Hawaiian / Pacific Islander","White","Two Or More Races","Unknown","Non-Resident Foreign","Total Minority"
"48","Belmont Abbey College","North Carolina","NC","Private","4 Year",10355,18500,28855,18500,28855,1560,14,46700,82900,49,7,"Belmont Abbey College","3",0,3,3,2,37,"5","22","0","0","0","0","0","0","0","0","0",0.989136339,1107,"0","16763","10232","6115","5741","0.619","0.2768","0.4591",23.72396487,0.273698264,56211,7.130000114,0.273698264,"63374.1","7.170000076","3.430000067",890,4,15,391,23,0,631,5,470,21,438
"49","Belmont University","Tennessee","TN","Private","4 Year",12120,34310,46430,34310,46430,7244,17,47300,80900,47,3,"Belmont University","3",0,3,4,2,47,"5","11","0","0","0","0","0","0","0","0","0",0.880798835,1272,"0","21118","25706","10072","9703","0.5549","0.1654","0.6959",20.4765343,0.158458244,87507,10.59000015,0.158458244,"70368.62","6.179999828","2.75999999",4478,16,157,318,300,7,5734,231,390,91,1029
"50","Beloit College","Wisconsin","WI","Private","4 Year",8830,50040,58870,50040,58870,1303,17,47400,85700,59,24,"Beloit College","3",0,3,3,2,55,"3","13","0","0","0","0","0","0","0","0","0",0.672766087,1273,"0","13212","12776","11192","7152","0.8304","0.2791","0.7525",19.72781065,0.193018481,69784,13.81999969,0.193018481,"74481.76","5.5","3.099999905",757,5,32,60,109,3,909,22,33,130,231
"51","Benedict College","South Carolina","SC","Private","4 Year",6200,16600,22800,16600,22800,2444,24,38100,67500,61,19,"Benedict College","3",0,3,3,2,45,"5","12","1","0","0","0","0","0","0","0","0",0.855074018,NA,"0","11931","10110","4307","6673","0.6947","0.7106","0.2629",20.52962085,0.407876231,17950.5,6.619999886,0.407876231,"49336.04","14.19999981","4.579999924",1224,0,9,2416,7,0,8,0,4,0,2432
"52","Benedictine College","Kansas","KS","Private","4 Year",10300,29530,39830,29530,39830,2138,3,48700,91800,69,13,"Benedictine College","3",0,3,4,2,20,"4","32","0","0","0","0","0","0","0","0","0",0.984970674,1243,"0","23319","13243","7834","6240","0.584","0.1667","0.6388",19.74651458,0.149606299,95543,9.539999962,0.149606299,"64485.18","6.650000095","2.960000038",1124,8,26,70,112,7,1690,95,62,68,318
"53","Bennington College","Vermont","VT","Private","4 Year",15610,54360,69970,54360,69970,755,6,48800,90000,50,5,"Bennington College","3",0,3,4,2,50,"1","32","0","0","0","0","0","0","0","0","0",0.669177289,NA,"0","20720","25625","19869","9900","0.4478","0.208","0.6938",20.0078125,0.12601626,75360.5,16.32999992,0.12601626,"77879.63","5.96999979","3.309999943",508,13,25,10,38,1,517,23,45,83,110
"54","Bentley University","Massachusetts","MA","Private","4 Year",16320,49880,66200,49880,66200,5565,9,66600,116600,36,7,"Bentley University","3",0,3,4,2,25,"1","13","0","0","0","0","0","0","0","0","0",0.609386747,1335,"0","23076","31450","14145","15113","0.6157","0.1377","0.888",19.81118314,0.155536771,106565.5,14.60000038,0.155536771,"82419.5","5.03000021","2.569999933",2385,4,433,149,325,0,3138,102,233,1181,1013
"55","Berea College","Kentucky","KY","Private","4 Year",6764,39990,46754,39990,46754,1621,19,39500,71600,53,27,"Berea College","3",0,3,3,2,21,"5","32","0","0","0","0","0","0","0","0","0",0.330069124,1229,"0","2900","1340","19832","8250","0.868","0.8869","0.6643",19.81420118,0.405777166,22742,6.28000021,0.405777166,"47532.74","12.22999954","3.519999981",909,2,26,242,95,3,1010,88,30,125,456
"56","Berry College","Georgia","GA","Private","4 Year",12770,36556,49326,36556,49326,2177,12,44900,84900,44,21,"Berry College","3",0,3,4,2,13,"5","23","0","0","0","0","0","0","0","0","0",0.698990284,1267,"0","16157","13225","14532","8767","0.7793","0.2258","0.714",19.65384615,0.168741356,82687.5,8.600000381,0.168741356,"70464.52","6.550000191","2.710000038",1335,2,26,93,134,3,1806,62,32,19,320
"57","Bethany College","Kansas","KS","Private","4 Year",10605,28475,39080,28475,39080,NA,23,39100,73200,61,17,"Bethany College","3",0,3,3,2,20,"4","33","0","0","0","0","0","0","0","0","0",0.718690522,1017,"0","24681","10520","5912","4668","1","0.4633","0.3238",20.5427975,0.33258427,45677,6.960000038,0.33258427,"57710.76","7.599999905","3.029999971",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
